Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Animal and vegetable fats and oils,"Peanut oil, edible",,,1,,,,
Animal and vegetable fats and oils,Pork lard,1,1,,,,1,1
Animal and vegetable fats and oils,"Poultry fats, processed",,,1,,,,1
Animal and vegetable fats and oils,Processed fat (blubber) of marine mammals,1.15,1.15,1.15,1.15,1.15,1.15,1.15
Animal and vegetable fats and oils,Pumpkin seed oil,0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Rape seed oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Safflower seed oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Sesame seed oil, edible",,10,10,10,,,10
Animal and vegetable fats and oils,Shortening and similar baking fats,,11.1,1,11.1,10,,4
Animal and vegetable fats and oils,"Shortening and similar baking fats, QUAL Half fat or medium fat",10,12,10,12,10,10,10
Animal and vegetable fats and oils,"Shortening and similar baking fats, QUAL Low fat (naturally or reduced)",23,23,23,23,23,23,23
Animal and vegetable fats and oils,"Shortening and similar baking fats, QUAL Low sodium / reduced salt",10,10,10,10,10,10,10
Animal and vegetable fats and oils,"Soya bean oil, refined",,,,,4,,4
Animal and vegetable fats and oils,Spreadable vegetable fat-deprecated,,,8,4,10,,14
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Half fat or medium fat",20.5,12,24,12,20,20.5,20
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Low fat (naturally or reduced)",19.8,24,24,24,20,19.8,20
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Low sodium / reduced salt",8,8,8,8,10,8,10
Animal and vegetable fats and oils,"Sunflower seed oil, edible",,,1,,,0.2,
Animal and vegetable fats and oils,Tallow from other animals,2,2,2,2,2,2,2
Animal and vegetable fats and oils,Traditional margarine,,11.1,8,20,10,,4
Animal and vegetable fats and oils,"Traditional margarine, QUAL Half fat or medium fat",12,24,24,24,20,12,20
Animal and vegetable fats and oils,"Traditional margarine, QUAL Low fat (naturally or reduced)",12,35,24,35,20,12,20
Animal and vegetable fats and oils,"Traditional margarine, QUAL Low sodium / reduced salt",8,8,8,8,10,8,10
Animal and vegetable fats and oils,Walnut oil,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Wheat germ oil,,1,1,,,,1
"Coffee, cocoa, tea and infusions",Camomile infusion,2,2,2,2,2,2,2
"Coffee, cocoa, tea and infusions",Chicory coffee infusion,3,120,3,120,1,3,1
"Coffee, cocoa, tea and infusions",Chicory coffee ingredient,20,126,20,126,30,20,30
"Coffee, cocoa, tea and infusions",Cocoa beans (fermented or dried),154,154,154,154,154,154,154
"Coffee, cocoa, tea and infusions",Cocoa beverages,112,113,100,113,102,112,118
"Coffee, cocoa, tea and infusions","Cocoa beverages, QUAL Low / Reduced sugar",70,70,70,70,119,70,119
"Coffee, cocoa, tea and infusions","Cocoa beverages, QUAL Sugar free",170,70,70,70,118,70,118
"Coffee, cocoa, tea and infusions",Cocoa mass,154,102,154,102,102,154,154
"Coffee, cocoa, tea and infusions",Cocoa powder,105,84.7,154,51,150,105,130
"Coffee, cocoa, tea and infusions","Cocoa powder, QUAL Low / Reduced sugar",154,154,154,154,154,154,154
"Coffee, cocoa, tea and infusions","Cocoa powder, QUAL Sugar free",154,154,154,154,154,154,154
"Coffee, cocoa, tea and infusions",Coffee (average strenght) beverage,,6.4,2,2,4,,3
"Coffee, cocoa, tea and infusions",Coffee (weak strenght) beverage,3,3,3,2,4,3,2
"Coffee, cocoa, tea and infusions","Coffee beans, roasted",120,130,120,130,120,120,120
"Coffee, cocoa, tea and infusions",Coffee beverage decaffeinated,4,3.3,2,2,4,4,2
"Coffee, cocoa, tea and infusions","Coffee drink, cafÇ macchiato",107,107,107,107,107,107,107
"Coffee, cocoa, tea and infusions","Coffee drink, cappuccino",61,61,61,61,53,61,53
"Coffee, cocoa, tea and infusions",Coffee espresso (beverage),2,4,2,2,4,2,3
"Coffee, cocoa, tea and infusions","Coffee ground, roasted",120,130,120,130,120,120,120
"Coffee, cocoa, tea and infusions","Coffee ground, roasted and decaffeinated",130,130,130,130,130,130,130
"Coffee, cocoa, tea and infusions",Coffee with milk or cream,6,62.2,6,62.2,3,6,19
"Coffee, cocoa, tea and infusions",Fermented tea infusion,,6.9,8,,5,,16
"Coffee, cocoa, tea and infusions",Flowers used for herbal infusions,300,300,300,300,300,300,300
"Coffee, cocoa, tea and infusions",Fruit infusion,0.2,2,2,2,2,0.2,2
"Coffee, cocoa, tea and infusions",Herbal infusion materials from leaves and herbs,302,302,302,302,302,302,302
"Coffee, cocoa, tea and infusions",Hot chocolate,113.8,105,100,105,102,113.8,118
"Coffee, cocoa, tea and infusions",Hot chocolate with added ingredients,109,109,109,109,109,109,109
"Coffee, cocoa, tea and infusions","Hot chocolate with added ingredients, QUAL Sugar free",70,70,70,70,70,70,70
"Coffee, cocoa, tea and infusions","Hot chocolate, QUAL Low / Reduced sugar",100,100,100,100,119,100,119
"Coffee, cocoa, tea and infusions","Hot chocolate, QUAL Sugar free",70,70,70,70,118,70,118
"Coffee, cocoa, tea and infusions",Instant coffee (beverage),4,2.5,3,1,11,4,1
"Coffee, cocoa, tea and infusions",Instant coffee powder,,127,170,140,160,160,140
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated",140,140,140,140,140,140,140
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated, QUAL Low / Reduced sugar",140,140,140,140,140,140,140
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated, QUAL Sugar free",140,140,140,140,140,140,140
"Coffee, cocoa, tea and infusions","Instant coffee powder, QUAL Low / Reduced sugar",4,170,170,170,4,4,170
"Coffee, cocoa, tea and infusions","Instant coffee powder, QUAL Sugar free",4,170,170,170,4,4,170
"Coffee, cocoa, tea and infusions",Jasmine infusion,2,2,2,2,2,2,2
"Coffee, cocoa, tea and infusions",Malt coffee infusion,4,4,4,4,4,4,4
"Coffee, cocoa, tea and infusions",Mixed coffee imitates,20,126,20,126,126,20,20
"Coffee, cocoa, tea and infusions",Non-fermented tea leaves (green or white tea),302,302,302,302,302,302,302
"Coffee, cocoa, tea and infusions","Non-fermented tea, infusion",0.2,6.9,8,6.9,2,,2
"Coffee, cocoa, tea and infusions",Rooibos infusion,2,2,2,2,2,2,2
"Coffee, cocoa, tea and infusions",Tea infusion with added flavouring ingredients,0.3,,,,0.3,,
"Coffee, cocoa, tea and infusions",Tea leaves and stalks decaffeinated,302,302,302,430,302,302,302
"Coffee, cocoa, tea and infusions",Tea leaves and stalks with fruit and flavours,306,306,306,306,306,306,306
"Coffee, cocoa, tea and infusions","Tea leaves and stalks, fermented",430,302,302,30,430,430,302
"Coffee, cocoa, tea and infusions",Tea powder ingredients and extracts,55,55,55,55,55,55,55
"Coffee, cocoa, tea and infusions","Tea, decaffeinated, infusion",8,8,8,,8,8,8
Composite dishes,Beans and meat meal,25.4,45.4,34,45.4,20,25.4,20
Composite dishes,Beans and vegetables meal,,17,17,17,58,282,58
Composite dishes,Beef loaf,32.2,37,37,37,37,32.2,37
Composite dishes,Bouillabaisse,,41,41,41,41,,41
Composite dishes,Ceasar salad,19.9,19.9,19.9,19.9,19.9,19.9,19.9
Composite dishes,Cereal products and grains based soup,37.8,13,13,13,13,80,13
Composite dishes,Cheese omelette,262.8,470,143,470,287,262.8,287
Composite dishes,Cheese savoury pie,194.7,62,62,62,36,194.7,92
Composite dishes,Creamed vegetable mix,59,83.1,32,83.1,120,59,120
Composite dishes,Dairy/egg soup,142,20,20,20,20,,20
Composite dishes,Dolma,43.4,74,74,74,74,43.4,74
Composite dishes,"Dolma, PROCESS Baking",45,74,74,74,74,45,74
Composite dishes,"Dolma, PROCESS Cooking in water",166.1,74,74,74,11,166.1,126
Composite dishes,"Dolma, PROCESS Steaming",166.1,74,74,74,11,166.1,126
Composite dishes,Doner kebab,,23.2,49,23.2,37,14.45,37
Composite dishes,Finger food,147,147,147,147,147,147,147
Composite dishes,Fish and potatoes meal,139.9,17,17,17,34,139.9,34
Composite dishes,Fish and rice meal,53.7,13.3,4,13.3,35,60,35
Composite dishes,Fish and vegetables meal,94.5,29,29,29,29,,29
Composite dishes,Fish balls,67.7,29,29,29,29,,29
Composite dishes,"Fish balls, PROCESS Baking",55,55,55,55,55,55,55
Composite dishes,"Fish balls, PROCESS Cooking in water",94.1,55,55,55,26,94.1,26
Composite dishes,"Fish balls, PROCESS Frying",76,55,55,55,76,76,55
Composite dishes,"Fish balls, PROCESS Steaming",94.1,55,55,55,26,94.1,26
Composite dishes,"Fish fingers, breaded",,22,17,46,15,,92
Composite dishes,Fish gratin,159.9,101,101,101,101,,101
Composite dishes,Fish pÉtÇ,43,30.5,33,30.5,12,43,12
Composite dishes,Fish soup,64.4,89,45,89,89,64.4,45
Composite dishes,"Fish soup, INGRED Tap water",17,89,17,89,89,17,17
Composite dishes,Fishcakes,,61.1,55,61.1,28,,28
Composite dishes,Fried eggs,60.5,57,52,57,59,60.5,65
Composite dishes,Fruit soup,22,18,18,18,18,22,18
Composite dishes,Goulash,18,18,18,18,16,18,12
Composite dishes,Greek salad,68.9,57,57,57,61,68.9,61
Composite dishes,Hamburger with bread,13.5,85.7,33,85.7,40,66.48,40
Composite dishes,Hot dog with bread,,33.6,32,33.6,33.6,,32
Composite dishes,Hummus,,43.5,41,43.5,41,,41
Composite dishes,Lasagna,103.7,91.8,114,91.8,80,103.7,80
Composite dishes,Legume (beans) soup,21.4,25,23,25,28,9,11
Composite dishes,Legumes based dishes,47.3,17.9,12,17.9,37,47.3,37
Composite dishes,Meat and vegetable soup,16.5,16.9,15,16.9,12,16.5,14
Composite dishes,Meat balls,21.4,29,37,29,19,28,42
Composite dishes,Meat burger (no sandwich),13.4,37,37,37,14,13.4,10
Composite dishes,Meat in aspic,30,,30,,,30,30
Composite dishes,Meat loaf,44.6,17,17,17,44,,44
Composite dishes,"Meat loaf with cheese, vegetables or other",31.3,24,24,24,24,31.3,24
Composite dishes,Meat soup,8.5,13.9,17,27,12,8.5,40
Composite dishes,Meat stew,10.5,16.5,23,16.5,15,10.5,15
