Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Animal and vegetable fats and oils,"Functional vegetable margarines/fats, QUAL Half fat or medium fat",0.02,,,,,0.02,
Animal and vegetable fats and oils,Ghee,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Grape seed oil,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Herring oil,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Linseed oil,,0,0,0,0,0,0
Animal and vegetable fats and oils,"Maize oil, edible",0,,0,0,0,0,
Animal and vegetable fats and oils,"Olive oil, refined",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Olive oil, virgin or extra-virgin",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Palm kernel oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,Palm oil/fat,0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Peanut oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,Pork lard,0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Poultry fats, processed",0,0,0,0,0,0,0
Animal and vegetable fats and oils,Processed fat (blubber) of marine mammals,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Pumpkin seed oil,0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Rape seed oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Safflower seed oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Sesame seed oil, edible",,0.07,0.07,,,,0.07
Animal and vegetable fats and oils,Shortening and similar baking fats,,0.01,,0.01,,,
Animal and vegetable fats and oils,"Shortening and similar baking fats, QUAL Half fat or medium fat",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Shortening and similar baking fats, QUAL Low sodium / reduced salt",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Soya bean oil, refined",0,,0,0,0,0,0
Animal and vegetable fats and oils,Spreadable vegetable fat-deprecated,,,0.025,,,,
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Half fat or medium fat",0.035,0.025,0.05,0.025,,0.035,
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Low fat (naturally or reduced)",0.035,0.05,0.05,0.05,,0.035,
