Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Additives,flavours, baking and processing aids","Artificial sweeteners (e.g., aspartam, saccharine)",,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Aspartame,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Baking yeast,0.48,2.6,0.684,2.6,0.6,0.6,2
"Additives,flavours, baking and processing aids",Cyclamate,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Flavour enhancer,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for gelling home-made food,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for pickling vegetables,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Preparations for raising and flavouring home-made bakery,,0.001,0.001,0.001,0.001,,0.001
"Additives,flavours, baking and processing aids",Saccharine,0,0,0,0,0,0,0
"Additives,flavours, baking and processing aids",Vanilla essence,,,,0.03,,,
"Additives,flavours, baking and processing aids",Vanilla pods extract,0,0,0,0,0,0,0
Alcoholic beverages,Alcopop and flavoured wine,,,,,0.001,,0.001
Alcoholic beverages,Ale beer,0.04,0.04,0.04,0.06,0.01,0.04,0.01
Alcoholic beverages,"Beer, alcohol-free",,0.033,0.034,0.03,0.055,,0.03
Alcoholic beverages,"Beer, light",0.01,0.034,0.04,0.02,0.055,0.03,0.02
Alcoholic beverages,"Beer, regular",0.02,0.048,0.062,0.048,0.055,0.03,0.06
Alcoholic beverages,"Beer, strong",0.02,0.045,0.04,0.08,0.078,0.04,0.04
Alcoholic beverages,Brandy,,,0.001,,,,
Alcoholic beverages,Champagne-like wine,,0.02,0.02,0.02,0.017,,0.02
Alcoholic beverages,Chocolate liqueur,0,0,0,0,0,0,0
Alcoholic beverages,Cider,,0.01,0.01,0.01,0.024,,0.01
Alcoholic beverages,Cocktail drink,0.05,0.03,0.022,0.03,0.03,,0.022
Alcoholic beverages,Coffee liqueur,0,0,0,0,0,0,0
Alcoholic beverages,Cream liqueur,0.011,,,0.02,0.008,0.011,0.008
Alcoholic beverages,Egg liqueur,0.085,0.085,0.085,0.085,0.031,0.085,0.031
Alcoholic beverages,Fruit liqueur,,0.001,0.001,0.001,,,
Alcoholic beverages,Gin,0,0,0,,0,0,
