Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Animal and vegetable fats and oils,"Soya bean oil, refined",145,131,131,131,183.9,145,131
Animal and vegetable fats and oils,Spreadable vegetable fat-deprecated,,43,43,43,,,43
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Half fat or medium fat",86,86,86,86,86,86,86
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Low fat (naturally or reduced)",86,86,86,86,86,86,86
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Low sodium / reduced salt",43,43,43,43,43,43,43
Animal and vegetable fats and oils,"Sunflower seed oil, edible",10,6,6,6,5.7,4,6.3
Animal and vegetable fats and oils,Tallow from other animals,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Traditional margarine,92.15,43,43,43,,,43
Animal and vegetable fats and oils,"Traditional margarine, QUAL Half fat or medium fat",43,86,86,86,43,43,43
Animal and vegetable fats and oils,"Traditional margarine, QUAL Low fat (naturally or reduced)",43,86,86,86,43,43,43
Animal and vegetable fats and oils,"Traditional margarine, QUAL Low sodium / reduced salt",43,43,43,43,43,43,43
Animal and vegetable fats and oils,Walnut oil,,15,15,15,,,15
Animal and vegetable fats and oils,Wheat germ oil,,24,24,24,,,24
"Coffee, cocoa, tea and infusions",Chicory coffee infusion,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Chicory coffee ingredient,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Cocoa beans (fermented or dried),4,4,4,4,4,4,4
"Coffee, cocoa, tea and infusions",Cocoa beverages,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Cocoa beverages, QUAL Low / Reduced sugar",1,1,1,1,1,1,1
"Coffee, cocoa, tea and infusions","Cocoa beverages, QUAL Sugar free",1,1,1,1,1,1,1
"Coffee, cocoa, tea and infusions",Cocoa mass,4,4,4,4,4,4,4
"Coffee, cocoa, tea and infusions",Cocoa powder,,4,4,4,,,4
"Coffee, cocoa, tea and infusions","Cocoa powder, QUAL Low / Reduced sugar",4,4,4,4,4,4,4
"Coffee, cocoa, tea and infusions","Cocoa powder, QUAL Sugar free",4,4,4,4,4,4,4
"Coffee, cocoa, tea and infusions",Coffee (average strenght) beverage,,0,0,0,0,,0
"Coffee, cocoa, tea and infusions",Coffee (weak strenght) beverage,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Coffee beans, roasted",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Coffee beverage decaffeinated,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Coffee drink, café macchiato",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Coffee drink, cappuccino",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Coffee espresso (beverage),0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions","Coffee ground, roasted",0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Coffee with milk or cream,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Fermented tea infusion,0,0,0,0,0,0,0
"Coffee, cocoa, tea and infusions",Flowers used for herbal infusions,0,0,0,0,0,0,0
