"","Survey.s.country","Survey.start.year","Survey.name","Population.Group..L2.","Exposure.hierarchy..L1.","Exposure.hierarchy..L2.","Exposure.hierarchy..L3.","Exposure.hierarchy..L4.","Exposure.hierarchy..L5.","Exposure.hierarchy..L6.","Exposure.hierarchy..L7.","Gender","Number.of.subjects","Number.of.consumers","Mean","Standard.Deviation","X5th.percentile","X10th.percentile","Median","X95th.percentile","X97.5th.percentile","X99th.percentile","Comment"
"138901","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Muesli and similar mixed breakfast cereals","Muesli and similar mixed breakfast cereals","Muesli and similar mixed breakfast cereals","Muesli and similar mixed breakfast cereals","Muesli and similar mixed breakfast cereals","Male","262","10","1.57",10.07,0,0,"0.00","0.00","22.50","58.25","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138902","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Cereal flakes and similar","Cereal flakes and similar","Cereal flakes and similar","Female","247","10","0.89",4.74,0,0,"0.00","0.00","20.43","24.00","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138903","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Cereal flakes and similar","Cereal flakes and similar","Cereal flakes and similar","Male","262","2","0.16",1.9,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138904","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Extruded breakfast cereal products","Extruded breakfast cereal products","Extruded breakfast cereal products","Female","247","2","0.28",3.85,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138905","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Extruded breakfast cereal products","Extruded breakfast cereal products","Extruded breakfast cereal products","Male","262","3","0.43",4.75,0,0,"0.00","0.00","0.00","19.52","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138906","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Processed maize-based flakes","Processed maize-based flakes","Processed maize-based flakes","Female","247","8","0.59",3.57,0,0,"0.00","0.00","13.14","17.52","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138907","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Processed maize-based flakes","Processed maize-based flakes","Processed maize-based flakes","Male","262","8","0.60",3.86,0,0,"0.00","0.00","10.25","24.11","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138908","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Processed mixed cereal-based flakes","Processed mixed cereal-based flakes","Processed mixed cereal-based flakes","Female","247","2","0.13",1.62,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138909","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Processed mixed cereal-based flakes","Processed mixed cereal-based flakes","Processed mixed cereal-based flakes","Male","262","1","0.27",4.45,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"138910","Portugal",2015,"National Food, Nutrition and Physical Activity Survey of the Portuguese general population","Elderly","Grains and grain-based products","Breakfast cereals","Processed and mixed breakfast cereals","Cereal flakes and similar","Processed oat-based flakes","Processed oat-based flakes","Processed oat-based flakes","Female","247","8","0.41",4.02,0,0,"0.00","0.00","2.10","5.96","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
