"","Survey.s.country","Survey.start.year","Survey.name","Population.Group..L2.","Exposure.hierarchy..L1.","Exposure.hierarchy..L2.","Exposure.hierarchy..L3.","Exposure.hierarchy..L4.","Exposure.hierarchy..L5.","Exposure.hierarchy..L6.","Exposure.hierarchy..L7.","Gender","Number.of.subjects","Number.of.consumers","Mean","Standard.Deviation","X5th.percentile","X10th.percentile","Median","X95th.percentile","X97.5th.percentile","X99th.percentile","Comment"
"1","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Beer and beer-like beverage","Beer","Beer","Beer","Beer","Beer","Female","188","46","109.63",282.23,0,0,"0.00","500.00","848.53","1,080.43","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"2","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Beer and beer-like beverage","Beer","Beer","Beer","Beer","Beer","Male","120","25","76.71",188.93,0,0,"0.00","500.00","750.00","750.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"3","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Beer and beer-like beverage","Beer","Lager beer","Beer, alcohol-free","Beer, alcohol-free","Beer, alcohol-free","Male","120","1","1.04",11.41,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"4","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Beer and beer-like beverage","Beer","Lager beer","Beer, regular","Beer, regular","Beer, regular","Female","188","2","1.54",15.06,0,0,"0.00","0.00","0.00","127.40","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"5","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Beer and beer-like beverage","Beer","Lager beer","Beer, regular","Beer, regular","Beer, regular","Male","120","1","1.38",15.06,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"6","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Beer and beer-like beverage","Beer-like beverages","Mixed beer drinks","Mixed beer drinks","Mixed beer drinks","Mixed beer drinks","Female","188","10","20.59",100.39,0,0,"0.00","210.90","250.00","663.50","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"7","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Beer and beer-like beverage","Beer-like beverages","Mixed beer drinks","Mixed beer drinks","Mixed beer drinks","Mixed beer drinks","Male","120","7","17.88",85.27,0,0,"0.00","165.00","250.00","313.14","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"8","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Mixed alcoholic drinks","Other mixed alcoholic drinks","Punch","Punch","Punch","Punch","Female","188","1","0.53",7.29,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"9","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Mixed alcoholic drinks","Other mixed alcoholic drinks","Punch","Punch","Punch","Punch","Male","120","1","0.83",9.13,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"10","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Unsweetened spirits and liqueurs","Liqueurs","Cream liqueur","Cream liqueur","Cream liqueur","Cream liqueur","Male","120","1","0.08",0.91,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"11","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Unsweetened spirits and liqueurs","Liqueurs","Fruit liqueur","Fruit liqueur","Fruit liqueur","Fruit liqueur","Female","188","1","0.05",0.73,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
"12","Austria",2010,"Austrian Study on Nutritional Status 2010-12 - Adults","Adults","Alcoholic beverages","Unsweetened spirits and liqueurs","Liqueurs","Herb liqueur","Herb liqueur","Herb liqueur","Herb liqueur","Female","188","2","0.16",1.63,0,0,"0.00","0.00","0.00","10.60","'Number of observations lower than 298, the 99th percentile may not be statistically robust'"
