"","Survey.s.country","Survey.start.year","Survey.name","Population.Group..L2.","Exposure.hierarchy..L1.","Exposure.hierarchy..L2.","Exposure.hierarchy..L3.","Exposure.hierarchy..L4.","Exposure.hierarchy..L5.","Exposure.hierarchy..L6.","Exposure.hierarchy..L7.","Gender","Number.of.subjects","Number.of.consumers","Mean","Standard.Deviation","X5th.percentile","X10th.percentile","Median","X95th.percentile","X97.5th.percentile","X99th.percentile","Comment"
"46301","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried bananas","Dried bananas","Dried bananas","Dried bananas","Male","381","3","0.01",0.1,0,0,"0.00","0.00","0.00","0.00",""
"46302","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried dates","Dried dates","Dried dates","Dried dates","Female","369","1","0.00",0.06,0,0,"0.00","0.00","0.00","0.00",""
"46303","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried dates","Dried dates","Dried dates","Dried dates","Male","381","2","0.04",0.72,0,0,"0.00","0.00","0.00","0.00",""
"46304","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried fruit","Dried fruit","Dried fruit","Dried fruit","Male","381","2","0.03",0.58,0,0,"0.00","0.00","0.00","0.00",""
"46305","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried pears","Dried pears","Dried pears","Dried pears","Male","381","1","0.00",0.01,0,0,"0.00","0.00","0.00","0.00",""
"46306","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried prunes","Dried prunes","Dried prunes","Dried prunes","Female","369","10","0.16",1.26,0,0,"0.00","0.00","1.26","6.67",""
"46307","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried prunes","Dried prunes","Dried prunes","Dried prunes","Male","381","14","0.24",1.65,0,0,"0.00","0.00","2.52","9.49",""
"46308","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried vine fruits (raisins etc.)","Dried vine fruits (raisins etc.)","Dried vine fruits (raisins etc.)","Dried vine fruits (raisins etc.)","Female","369","65","1.02",3.34,0,0,"0.00","7.58","11.94","19.27",""
"46309","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Dried vine fruits (raisins etc.)","Dried vine fruits (raisins etc.)","Dried vine fruits (raisins etc.)","Dried vine fruits (raisins etc.)","Male","381","64","0.71",2.8,0,0,"0.00","3.38","9.36","15.84",""
"46310","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Mixed dried fruits","Mixed dried fruits","Mixed dried fruits","Mixed dried fruits","Female","369","3","0.05",0.63,0,0,"0.00","0.00","0.00","0.00",""
"46311","Finland",2001,"Diabetes Prediction and Prevention Nutrition Study (DIPP) 2001-2009","Other children","Fruit and fruit products","Processed fruit products","Dried fruit","Mixed dried fruits","Mixed dried fruits","Mixed dried fruits","Mixed dried fruits","Male","381","6","0.04",0.46,0,0,"0.00","0.00","0.00","1.86",""
