"","Survey.s.country","Survey.start.year","Survey.name","Population.Group..L2.","Exposure.hierarchy..L1.","Exposure.hierarchy..L2.","Exposure.hierarchy..L3.","Exposure.hierarchy..L4.","Exposure.hierarchy..L5.","Exposure.hierarchy..L6.","Exposure.hierarchy..L7.","Gender","Number.of.subjects","Number.of.consumers","Mean","Standard.Deviation","X5th.percentile","X10th.percentile","Median","X95th.percentile","X97.5th.percentile","X99th.percentile","Comment"
"162051","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Pome fruits","Apples and similar-","Apples","Apples","Apples","Male","47","13","38.95",75.33,0,0,"0.00","214.97","236.08","254.13","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162052","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Pome fruits","Loquats and similar-","Loquats","Loquats","Loquats","Male","47","1","0.53",3.62,0,0,"0.00","0.00","0.00","24.80","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162053","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Pome fruits","Pears and similar-","Pears","Pears","Pears","Female","39","10","32.08",109.66,0,0,"0.00","80.69","162.72","470.95","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162054","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Pome fruits","Pears and similar-","Pears","Pears","Pears","Male","47","4","10.20",36.93,0,0,"0.00","140.82","154.70","154.70","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162055","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Pome fruits","Quinces and similar-","Quinces","Quinces","Quinces","Female","39","1","1.11",6.94,0,0,"0.00","0.00","43.33","43.33","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162056","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Stone fruits","Apricots and similar-","Apricots","Apricots","Apricots","Male","47","2","2.77",13.32,0,0,"0.00","0.00","64.50","67.20","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162057","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Stone fruits","Cherries and similar-","Cherries (sweet)","Cherries (sweet)","Cherries (sweet)","Female","39","4","2.84",9.08,0,0,"0.00","27.67","31.38","37.45","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162058","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Stone fruits","Cherries and similar-","Cherries (sweet)","Cherries (sweet)","Cherries (sweet)","Male","47","3","5.47",25.69,0,0,"0.00","45.10","74.98","129.59","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162059","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Stone fruits","Peaches and similar-","Common peaches","Common peaches","Common peaches","Female","39","2","4.62",21.26,0,0,"0.00","61.50","90.75","108.30","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162060","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Stone fruits","Peaches and similar-","Common peaches","Common peaches","Common peaches","Male","47","4","8.30",27.77,0,0,"0.00","90.00","93.56","109.43","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162061","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Fruit used as fruit","Stone fruits","Peaches and similar-","Nectarines","Nectarines","Nectarines","Male","47","1","5.11",35.01,0,0,"0.00","0.00","0.00","240.00","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162062","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Processed fruit products","Fruit / vegetable spreads and similar","Jam of fruit / vegetables","Jam, mixed fruit","Jam, mixed fruit","Jam, mixed fruit","Female","39","2","0.77",3.54,0,0,"0.00","10.25","15.13","18.05","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162063","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Processed fruit products","Fruit / vegetable spreads and similar","Jam of fruit / vegetables","Jam, mixed fruit","Jam, mixed fruit","Jam, mixed fruit","Male","47","4","2.52",10.51,0,0,"0.00","19.62","25.54","50.22","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162064","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Processed fruit products","Fruit / vegetable spreads and similar","Jam of fruit / vegetables","Jam, oranges","Jam, oranges","Jam, oranges","Female","39","1","0.26",1.6,0,0,"0.00","0.00","10.00","10.00","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162065","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Processed fruit products","Fruit / vegetable spreads and similar","Jam of fruit / vegetables","Jam, plums","Jam, plums","Jam, plums","Female","39","1","0.43",2.67,0,0,"0.00","0.00","16.67","16.67","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162066","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Processed fruit products","Fruit / vegetable spreads and similar","Jam of fruit / vegetables","Jam, strawberries","Jam, strawberries","Jam, strawberries","Male","47","2","0.48",2.42,0,0,"0.00","0.00","10.59","13.24","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162067","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and fruit products","Processed fruit products","Other processed fruit products (excluding beverages)","Canned or jarred fruit","Canned or jarred peach","Canned or jarred peach","Canned or jarred peach","Male","47","1","3.19",21.88,0,0,"0.00","0.00","0.00","150.00","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162068","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and vegetable juices and nectars (including concentrates)","Fruit / vegetable juices and nectars","Fruit juices (100% from named source)","Juice, apple","Juice, apple","Juice, apple","Juice, apple","Female","39","1","1.71",10.68,0,0,"0.00","0.00","66.67","66.67","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162069","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and vegetable juices and nectars (including concentrates)","Fruit / vegetable juices and nectars","Fruit juices (100% from named source)","Juice, apple","Juice, apple","Juice, apple","Juice, apple","Male","47","4","15.60",62.11,0,0,"0.00","123.75","219.79","307.92","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162070","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and vegetable juices and nectars (including concentrates)","Fruit / vegetable juices and nectars","Fruit juices (100% from named source)","Juice, grape","Juice, grape","Juice, grape","Juice, grape","Female","39","1","1.71",10.68,0,0,"0.00","0.00","66.67","66.67","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
"162071","Spain",2009,"Spanish Agency for Food Safety (AESAN) - FIAB Survey","Adolescents","Fruit and vegetable juices and nectars (including concentrates)","Fruit / vegetable juices and nectars","Fruit juices (100% from named source)","Juice, orange","Juice, orange","Juice, orange","Juice, orange","Female","39","10","33.33",66.67,0,0,"0.00","174.83","208.17","243.27","'Number of observations lower than 60, the 95th percentile may not be statistically robust'"
