"","Survey.s.country","Survey.start.year","Survey.name","Population.Group..L2.","Exposure.hierarchy..L1.","Exposure.hierarchy..L2.","Exposure.hierarchy..L3.","Exposure.hierarchy..L4.","Exposure.hierarchy..L5.","Exposure.hierarchy..L6.","Exposure.hierarchy..L7.","Gender","Number.of.subjects","Number.of.consumers","Mean","Standard.Deviation","X5th.percentile","X10th.percentile","Median","X95th.percentile","X97.5th.percentile","X99th.percentile","Comment"
"69451","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Fruiting vegetables","Solanacea","Peppers and similar-","Sweet peppers","Sweet peppers","Sweet peppers","Male","84","5","0.20",0.91,0,0,"0.00","1.57","3.48","5.48","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69452","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Fruiting vegetables","Solanacea","Tomatoes and similar-","Tomatoes and similar-","Tomatoes and similar-","Tomatoes and similar-","Female","75","10","1.20",5.38,0,0,"0.00","8.39","11.80","24.79","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69453","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Fruiting vegetables","Solanacea","Tomatoes and similar-","Tomatoes and similar-","Tomatoes and similar-","Tomatoes and similar-","Male","84","11","0.62",2.25,0,0,"0.00","6.49","8.33","9.72","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69454","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Fruiting vegetables","Sweet corn and similar-","Sweet corn","Sweet corn","Sweet corn","Sweet corn","Female","75","3","0.33",1.95,0,0,"0.00","0.00","8.06","11.93","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69455","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Fruiting vegetables","Sweet corn and similar-","Sweet corn","Sweet corn","Sweet corn","Sweet corn","Male","84","4","0.22",1.32,0,0,"0.00","0.00","2.90","6.53","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69456","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Fungi, mosses and lichens","Fungi","Cultivated fungi and similar-","Common mushrooms","Common mushrooms","Common mushrooms","Female","75","2","0.09",0.64,0,0,"0.00","0.00","1.96","3.95","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69457","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Fungi, mosses and lichens","Fungi","Cultivated fungi and similar-","Common mushrooms","Common mushrooms","Common mushrooms","Male","84","2","0.02",0.15,0,0,"0.00","0.00","0.00","0.95","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69458","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Basils and mints","Basil","Basil","Basil","Female","75","4","0.00",0.02,0,0,"0.00","0.03","0.09","0.14","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69459","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Basils and mints","Basil","Basil","Basil","Male","84","2","0.00",0.01,0,0,"0.00","0.00","0.00","0.04","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69460","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Celery leaves and similar-","Dill leaves","Dill leaves","Dill leaves","Female","75","5","0.00",0.01,0,0,"0.00","0.01","0.02","0.03","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69461","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Celery leaves and similar-","Dill leaves","Dill leaves","Dill leaves","Male","84","1","0.00",0,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69462","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Celery leaves and similar-","Lovage leaves","Lovage leaves","Lovage leaves","Female","75","5","0.00",0.01,0,0,"0.00","0.02","0.04","0.05","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69463","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Celery leaves and similar-","Lovage leaves","Lovage leaves","Lovage leaves","Male","84","6","0.00",0.01,0,0,"0.00","0.02","0.04","0.05","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69464","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Chives and similar-","Chives","Chives","Chives","Female","75","5","0.01",0.05,0,0,"0.00","0.01","0.06","0.23","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69465","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Chives and similar-","Chives","Chives","Chives","Male","84","5","0.02",0.13,0,0,"0.00","0.01","0.04","0.41","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69466","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Laurel and similar-","Laurel","Laurel","Laurel","Female","75","1","0.00",0.04,0,0,"0.00","0.00","0.00","0.32","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69467","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Parsley and similar-","Parsley","Parsley","Parsley","Female","75","16","0.04",0.15,0,0,"0.00","0.25","0.35","0.61","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69468","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Parsley and similar-","Parsley","Parsley","Parsley","Male","84","20","0.06",0.18,0,0,"0.00","0.54","0.72","0.79","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69469","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Thyme and similar-","Marjoram","Marjoram","Marjoram","Male","84","1","0.00",0.01,0,0,"0.00","0.00","0.00","0.05","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69470","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Thyme and similar-","Oregano","Oregano","Oregano","Male","84","4","0.00",0,0,0,"0.00","0.00","0.01","0.01","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69471","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Thyme and similar-","Thyme","Thyme","Thyme","Female","75","1","0.00",0.02,0,0,"0.00","0.00","0.00","0.16","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69472","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Thyme and similar-","Thyme","Thyme","Thyme","Male","84","3","0.00",0.01,0,0,"0.00","0.00","0.02","0.04","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69473","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Herbs and edible flowers","Aromatic herbs","Thyme and similar-","Winter savory","Winter savory","Winter savory","Male","84","1","0.00",0.01,0,0,"0.00","0.00","0.00","0.07","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69474","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Head brassica","Brussels sprouts and similar-","Brussels sprouts","Brussels sprouts","Brussels sprouts","Female","75","1","0.06",0.49,0,0,"0.00","0.00","0.00","4.21","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69475","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Head brassica","Brussels sprouts and similar-","Brussels sprouts","Brussels sprouts","Brussels sprouts","Male","84","2","0.46",3.92,0,0,"0.00","0.00","0.00","22.09","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69476","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Head brassica","Head cabbages and similar-","Red cabbages","Red cabbages","Red cabbages","Male","84","3","0.30",1.7,0,0,"0.00","0.00","7.29","10.73","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69477","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Head brassica","Head cabbages and similar-","Savoy cabbages","Savoy cabbages","Savoy cabbages","Male","84","1","0.31",2.87,0,0,"0.00","0.00","0.00","26.28","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
