"","Survey.s.country","Survey.start.year","Survey.name","Population.Group..L2.","Exposure.hierarchy..L1.","Exposure.hierarchy..L2.","Exposure.hierarchy..L3.","Exposure.hierarchy..L4.","Exposure.hierarchy..L5.","Exposure.hierarchy..L6.","Exposure.hierarchy..L7.","Gender","Number.of.subjects","Number.of.consumers","Mean","Standard.Deviation","X5th.percentile","X10th.percentile","Median","X95th.percentile","X97.5th.percentile","X99th.percentile","Comment"
"69478","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Leafy brassica","Chinese cabbages and similar-","Chinese cabbages and similar-","Chinese cabbages and similar-","Chinese cabbages and similar-","Male","84","1","0.14",1.3,0,0,"0.00","0.00","0.00","11.96","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69479","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Leafy brassica","Kales and similar-","Curly kales","Curly kales","Curly kales","Female","75","1","0.08",0.67,0,0,"0.00","0.00","0.00","5.77","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69480","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Lettuces and salad plants","Lettuces and similar-","Head lettuces","Head lettuces","Head lettuces","Male","84","1","0.03",0.24,0,0,"0.00","0.00","0.00","2.24","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69481","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Spinach-type leaves","Chards and similar-","Chards","Chards","Chards","Male","84","1","0.03",0.28,0,0,"0.00","0.00","0.00","2.54","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69482","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Spinach-type leaves","Spinaches and similar-","Spinaches","Spinaches","Spinaches","Female","75","6","0.66",3.03,0,0,"0.00","1.73","14.80","15.98","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69483","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Leafy vegetables","Spinach-type leaves","Spinaches and similar-","Spinaches","Spinaches","Spinaches","Male","84","10","1.21",4.16,0,0,"0.00","9.58","15.83","20.41","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69484","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Legumes with pod","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Female","75","1","0.11",0.99,0,0,"0.00","0.00","0.00","8.60","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69485","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Legumes with pod","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Beans (with pods) and similar-","Male","84","1","0.11",1.04,0,0,"0.00","0.00","0.00","9.52","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69486","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Processed or preserved vegetables and similar","Canned/jarred vegetables","Sweet corn canned","Sweet corn canned","Sweet corn canned","Sweet corn canned","Female","75","1","0.01",0.08,0,0,"0.00","0.00","0.00","0.71","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69487","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Processed or preserved vegetables and similar","Canned/jarred vegetables","Sweet corn canned","Sweet corn canned","Sweet corn canned","Sweet corn canned","Male","84","1","0.13",1.19,0,0,"0.00","0.00","0.00","10.94","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69488","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Processed or preserved vegetables and similar","Processed tomato products","Preserved concentrated tomatoes","Tomato paste","Tomato paste","Tomato paste","Female","75","4","0.11",0.51,0,0,"0.00","1.02","2.20","2.96","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69489","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Processed or preserved vegetables and similar","Processed tomato products","Preserved concentrated tomatoes","Tomato paste","Tomato paste","Tomato paste","Male","84","4","0.02",0.12,0,0,"0.00","0.00","0.18","0.61","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69490","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Processed or preserved vegetables and similar","Vegetable puree or paste","Mashed vegetable puree","Mashed vegetable puree","Mashed vegetable puree","Mashed vegetable puree","Female","75","1","0.41",3.52,0,0,"0.00","0.00","0.00","30.50","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69491","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Processed or preserved vegetables and similar","Vegetable puree or paste","Mashed vegetable puree","Mashed vegetable puree","Mashed vegetable puree","Mashed vegetable puree","Male","84","1","0.46",4.22,0,0,"0.00","0.00","0.00","38.63","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69492","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Processed or preserved vegetables and similar","Vegetable puree or paste","Vegetable puree or paste","Vegetable puree or paste","Vegetable puree or paste","Vegetable puree or paste","Female","75","1","0.04",0.36,0,0,"0.00","0.00","0.00","3.15","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69493","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Beetroots and similar-","Beetroots","Beetroots","Beetroots","Beetroots","Female","75","1","0.07",0.57,0,0,"0.00","0.00","0.00","4.97","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69494","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Carrots and similar-","Carrots","Carrots","Carrots","Carrots","Female","75","35","12.40",22.16,0,0,"0.00","66.85","75.50","91.07","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69495","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Carrots and similar-","Carrots","Carrots","Carrots","Carrots","Male","84","45","10.94",17.5,0,0,"0.10","55.01","60.05","64.04","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69496","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Celeriacs and similar-","Celeriacs","Celeriacs","Celeriacs","Celeriacs","Female","75","6","0.05",0.2,0,0,"0.00","0.38","0.80","1.03","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69497","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Celeriacs and similar-","Celeriacs","Celeriacs","Celeriacs","Celeriacs","Male","84","6","0.03",0.14,0,0,"0.00","0.14","0.47","0.67","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69498","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Parsley roots and similar-","Parsley roots","Parsley roots","Parsley roots","Parsley roots","Female","75","4","0.01",0.05,0,0,"0.00","0.06","0.16","0.26","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69499","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Parsley roots and similar-","Parsley roots","Parsley roots","Parsley roots","Parsley roots","Male","84","5","0.01",0.04,0,0,"0.00","0.06","0.12","0.23","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69500","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Parsnips and similar-","Parsnip roots","Parsnip roots","Parsnip roots","Parsnip roots","Female","75","6","1.03",4.81,0,0,"0.00","3.79","18.63","28.41","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69501","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Parsnips and similar-","Parsnip roots","Parsnip roots","Parsnip roots","Parsnip roots","Male","84","3","0.48",3.84,0,0,"0.00","0.00","2.92","17.62","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69502","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Salsifies and similar-","Salsifies","Salsifies","Salsifies","Salsifies","Female","75","1","0.02",0.14,0,0,"0.00","0.00","0.00","1.18","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69503","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Swedes and similar-","Swedes","Swedes","Swedes","Swedes","Female","75","1","0.31",2.66,0,0,"0.00","0.00","0.00","23.01","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69504","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Root and tuber vegetables (excluding starchy- and sugar-)","Swedes and similar-","Swedes","Swedes","Swedes","Swedes","Male","84","1","0.08",0.72,0,0,"0.00","0.00","0.00","6.60","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69505","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Asparagus and similar-","Asparagus","Asparagus","Asparagus","Asparagus","Female","75","1","0.00",0.03,0,0,"0.00","0.00","0.00","0.26","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69506","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Asparagus and similar-","Asparagus","Asparagus","Asparagus","Asparagus","Male","84","1","0.01",0.1,0,0,"0.00","0.00","0.00","0.90","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69507","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Celeries and similar-","Celeries","Celeries","Celeries","Celeries","Male","84","2","0.16",1.4,0,0,"0.00","0.00","0.00","7.71","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69508","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Florence fennels and similar-","Florence fennels","Florence fennels","Florence fennels","Florence fennels","Female","75","4","1.90",10.32,0,0,"0.00","6.29","36.57","61.13","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69509","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Florence fennels and similar-","Florence fennels","Florence fennels","Florence fennels","Florence fennels","Male","84","8","1.98",8.32,0,0,"0.00","15.86","21.45","38.81","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69510","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Kohlrabies and similar-","Kohlrabies","Kohlrabies","Kohlrabies","Kohlrabies","Female","75","7","1.65",7.1,0,0,"0.00","9.28","21.62","34.05","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69511","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Kohlrabies and similar-","Kohlrabies","Kohlrabies","Kohlrabies","Kohlrabies","Male","84","8","1.23",4.24,0,0,"0.00","13.01","14.71","20.27","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69512","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Leeks and similar-","Leeks","Leeks","Leeks","Leeks","Female","75","6","0.16",0.84,0,0,"0.00","0.31","2.49","5.04","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69513","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Vegetables and vegetable products","Stems/stalks eaten as vegetables","Leeks and similar-","Leeks","Leeks","Leeks","Leeks","Male","84","10","0.26",1.24,0,0,"0.00","1.69","2.75","6.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69514","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Drinking water","Unbottled water","Tap water","Tap water","Tap water","Tap water","Female","75","19","2.07",5.04,0,0,"0.00","14.13","15.81","19.62","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69515","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Drinking water","Unbottled water","Tap water","Tap water","Tap water","Tap water","Male","84","21","2.46",8.04,0,0,"0.00","14.25","19.85","35.57","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69516","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Drinking water","Unbottled water","Unbottled water","Unbottled water","Unbottled water","Unbottled water","Female","75","71","157.78",150.86,0,12,"104.77","470.63","562.68","574.59","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69517","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Drinking water","Unbottled water","Unbottled water","Unbottled water","Unbottled water","Unbottled water","Male","84","77","176.18",201.99,0,4,"118.46","625.99","675.45","826.78","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69518","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Water based beverages","Soft drinks","Soft drinks with minor amounts of fruits or flavours","Soft drink, flavoured, no fruit","Soft drink, flavoured, no fruit","Soft drink, flavoured, no fruit","Male","84","1","1.21",11.09,0,0,"0.00","0.00","0.00","101.67","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69519","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Water based beverages","Soft drinks","Soft drinks with minor amounts of fruits or flavours","Soft drink, with fruit juice (fruit content below the minimum for nectars)","Fruit soft drink, mixed fruit","Fruit soft drink, mixed fruit","Female","75","2","1.16",7.17,0,0,"0.00","0.00","37.24","45.40","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69520","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Water based beverages","Soft drinks","Soft drinks with minor amounts of fruits or flavours","Soft drink, with fruit juice (fruit content below the minimum for nectars)","Fruit soft drink, mixed fruit","Fruit soft drink, mixed fruit","Male","84","3","2.09",13.38,0,0,"0.00","0.00","50.53","86.71","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69521","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Water based beverages","Soft drinks","Soft drinks with minor amounts of fruits or flavours","Soft drink, with fruit juice (fruit content below the minimum for nectars)","Soft drink, with fruit juice (fruit content below the minimum for nectars)","Soft drink, with fruit juice (fruit content below the minimum for nectars)","Female","75","19","18.34",56.69,0,0,"0.00","102.98","143.53","227.58","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69522","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Infants","Water and water-based beverages","Water based beverages","Soft drinks","Soft drinks with minor amounts of fruits or flavours","Soft drink, with fruit juice (fruit content below the minimum for nectars)","Soft drink, with fruit juice (fruit content below the minimum for nectars)","Soft drink, with fruit juice (fruit content below the minimum for nectars)","Male","84","17","15.58",43.06,0,0,"0.00","135.16","141.41","201.47","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69523","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Other children","Alcoholic beverages","Beer and beer-like beverage","Beer-like beverages","Beer-like beverages","Beer-like beverages","Beer-like beverages","Beer-like beverages","Female","147","7","1.50",7.21,0,0,"0.00","0.00","29.65","40.89","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69524","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Other children","Alcoholic beverages","Beer and beer-like beverage","Beer-like beverages","Beer-like beverages","Beer-like beverages","Beer-like beverages","Beer-like beverages","Male","146","5","2.13",12.78,0,0,"0.00","0.00","43.53","81.49","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69525","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Other children","Alcoholic beverages","Mixed alcoholic drinks","Other mixed alcoholic drinks","Punch","Punch","Punch","Punch","Female","147","1","0.00",0,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69526","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Other children","Alcoholic beverages","Unsweetened spirits and liqueurs","Unsweetened spirits","Spirits from fruit","Spirits made from fruits other than stone fruits","Brandy","Brandy","Female","147","2","0.00",0,0,0,"0.00","0.00","0.00","0.02","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
"69527","Germany",2001,"Consumption Survey of Food Intake among Infants and Young Children","Other children","Alcoholic beverages","Unsweetened spirits and liqueurs","Unsweetened spirits","Spirits not from fruit","Rum","Rum","Rum","Male","146","1","0.00",0.03,0,0,"0.00","0.00","0.00","0.00","'Number of observations lower than 180, the 97.5th percentile may not be statistically robust'"
