Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Animal and vegetable fats and oils,Coconut oil/fat,0.002,,0.002,,0.002,0.002,0.002
Animal and vegetable fats and oils,Cod liver oil,0.007,0.01,0.007,0.01,0.007,0.007,0.007
Animal and vegetable fats and oils,"Cotton seed oil, edible",,0.005,0.005,0.005,,,0.005
Animal and vegetable fats and oils,"Functional vegetable margarines/fats, QUAL Half fat or medium fat",0.001,,,,,0.001,
Animal and vegetable fats and oils,Ghee,0.01,0.01,0.01,0.01,0.14,0.01,0.14
Animal and vegetable fats and oils,Grape seed oil,0,,0,,0,0,0
Animal and vegetable fats and oils,Herring oil,0.015,0.015,0.015,0.015,0.015,0.015,0.015
Animal and vegetable fats and oils,Linseed oil,,0,0,0,0,0,0
Animal and vegetable fats and oils,"Maize oil, edible",,,0.05,,0.01,,
Animal and vegetable fats and oils,"Olive oil, refined",,0.005,0.005,,0.01,,0.01
Animal and vegetable fats and oils,"Olive oil, virgin or extra-virgin",0.005,0.005,0.005,,0.01,0.005,0.01
Animal and vegetable fats and oils,"Palm kernel oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,Palm oil/fat,,0.001,0.001,0.001,0.001,,0.001
Animal and vegetable fats and oils,"Peanut oil, edible",0.003,,0.003,,,0.003,
Animal and vegetable fats and oils,Pork lard,0.02,0.02,,0.02,0.02,0.02,0.02
Animal and vegetable fats and oils,"Poultry fats, processed",0.02,,0.02,,0.02,0.02,0.02
Animal and vegetable fats and oils,Processed fat (blubber) of marine mammals,0.007,0.007,0.007,0.007,0.007,0.007,0.007
Animal and vegetable fats and oils,Pumpkin seed oil,0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Rape seed oil, edible",,,0.002,,0.002,,0.01
Animal and vegetable fats and oils,"Safflower seed oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Sesame seed oil, edible",0,0,0,0,0,0,0
Animal and vegetable fats and oils,Shortening and similar baking fats,,0.006,0.01,0.006,,,0.04
Animal and vegetable fats and oils,"Shortening and similar baking fats, QUAL Half fat or medium fat",0,,0,,0,0,0
Animal and vegetable fats and oils,"Shortening and similar baking fats, QUAL Low sodium / reduced salt",0,0,0,0,0,0,0
Animal and vegetable fats and oils,"Soya bean oil, refined",0.01,,,,0.01,0.01,0.01
Animal and vegetable fats and oils,Spreadable vegetable fat-deprecated,,,0.033,,,,
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Half fat or medium fat",0.0058,0.003,0.006,0.003,,0.0058,
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Low fat (naturally or reduced)",0.0081,0.006,0.006,0.006,,0.0081,
Animal and vegetable fats and oils,"Spreadable vegetable fat-deprecated, QUAL Low sodium / reduced salt",0.033,0.033,0.033,0.033,,0.033,
Animal and vegetable fats and oils,"Sunflower seed oil, edible",,,0.001,,,,0.01
Animal and vegetable fats and oils,Tallow from other animals,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Animal and vegetable fats and oils,Traditional margarine,,0.006,0.033,0.006,,,0.04
Animal and vegetable fats and oils,"Traditional margarine, QUAL Half fat or medium fat",0.003,0.003,0.006,0.003,,0.003,
Animal and vegetable fats and oils,"Traditional margarine, QUAL Low fat (naturally or reduced)",0.003,0.003,0.006,0.003,,0.003,
Animal and vegetable fats and oils,"Traditional margarine, QUAL Low sodium / reduced salt",0.033,0.033,0.033,0.033,,0.033,
Animal and vegetable fats and oils,Walnut oil,0,0,0,0,0,0,0
Animal and vegetable fats and oils,Wheat germ oil,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Coffee, cocoa, tea and infusions",Camomile infusion,0.015,0.015,0.015,0.015,0.015,0.015,0.015
"Coffee, cocoa, tea and infusions",Chicory coffee infusion,0.007,,0.007,,0.03,0.007,0.03
"Coffee, cocoa, tea and infusions",Chicory coffee ingredient,0.05,,0.05,,0.6,0.05,0.6
"Coffee, cocoa, tea and infusions",Cocoa beans (fermented or dried),4.15,4.15,4.15,4.15,4.15,4.15,4.15
"Coffee, cocoa, tea and infusions",Cocoa beverages,0.15,,0.15,,0.06,0.15,0.07
"Coffee, cocoa, tea and infusions","Cocoa beverages, QUAL Low / Reduced sugar",0.098,0.098,0.098,0.098,0.08,0.098,0.08
"Coffee, cocoa, tea and infusions","Cocoa beverages, QUAL Sugar free",0.045,0.098,0.098,0.098,0.098,0.098,0.098
"Coffee, cocoa, tea and infusions",Cocoa mass,4.15,3.8,4.15,3.8,3.8,4.15,4.15
"Coffee, cocoa, tea and infusions",Cocoa powder,0.6,0.07,0.6,0.6,0.81,0.6,0.6
"Coffee, cocoa, tea and infusions","Cocoa powder, QUAL Low / Reduced sugar",0.6,0.07,0.6,0.6,0.81,0.6,0.6
"Coffee, cocoa, tea and infusions","Cocoa powder, QUAL Sugar free",0.6,0.07,0.6,0.6,0.81,0.6,0.6
"Coffee, cocoa, tea and infusions",Coffee (average strenght) beverage,,0.008,0.103,0.05,0.01,,0.01
"Coffee, cocoa, tea and infusions",Coffee (weak strenght) beverage,0.055,0.055,0.055,0.002,0.01,0.055,0.01
"Coffee, cocoa, tea and infusions","Coffee beans, roasted",1.55,0.82,1.55,0.82,1.55,1.55,1.55
"Coffee, cocoa, tea and infusions",Coffee beverage decaffeinated,0.01,0.03,0.103,0.05,0.01,0.01,0.103
