Protein,Total Fat,Carbohydrate,Alcohol,Water,Caffeine,Theobromine,"Sugars, total","Fiber, total dietary",Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Retinol,"Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,Vitamin C,Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,"Choline, total",Vitamin K (phylloquinone),Folic acid,"Folate, food","Vitamin E, added","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated",4:00,6:00,8:00,10:00,12:00,14:00,16:00,18:00,18:01,18:02,18:03,20:04,22:6 n-3,16:01,18:04,20:01,20:5 n-3,22:01,22:5 n-3,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated",Daidzein,Genistein,Glycitein,Cyanidin,Petunidin,Delphinidin,Malvidin,Pelargonidin,Peonidin,(+)-Catechin,(-)-Epigallocatechin,(-)-Epicatechin,(-)-Epicatechin 3-gallate,(-)-Epigallocatechin 3-gallate,Theaflavin,Thearubigins,Eriodictyol,Hesperetin,Naringenin,Apigenin,Luteolin,Isorhamnetin,Kaempferol,Myricetin,Quercetin,"Theaflavin-3,3'-digallate",Theaflavin-3'-gallate,Theaflavin-3-gallate,(+)-Gallocatechin,Total flavonoids,Total anthocyanidins,Total catechins (monomeric flavan-3-ols only),Total flavan-3-ols,Total flavanones,Total flavones,Total flavonols,Total isoflavones,Food_code,Main_food_description,catnumb,catname,novaclass,macroclass,pythonlabel
1.193922468,0.683096845,1.568615918,-20,4.490993141,-20,-20,1.621366483,-20,-2.120263536,-10.81977828,-4.509860006,-2.385966702,-1.966112856,-3.057607677,-7.641724454,-12.02375109,-12.89921983,-9.808177373,-12.4292162,-20,-10.41431318,-13.633189,-20,-20,-20,-8.517193191,-10.15194891,-8.595154733,-9.293721981,-10.1779244,-12.20607265,-14.45038883,-4.110473944,-15.42494847,-20,-12.20607265,-20,-20,-4.828313737,0.22872793,-2.563949857,-3.218875825,-3.912023005,-3.015934981,-2.900422094,-1.742969305,-0.583396317,-1.414693836,-0.677273831,-2.780620894,-4.828313737,-20,-20,-3.611918413,-20,-6.214608098,-20,-20,-20,-0.579818495,-2.617295838,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11112130,"Milk, cow's, fluid, acidophilus, 2% fat",1004,"Milk, reduced fat",1,Milk,0
1.214912744,-0.030459207,1.60743591,-20,4.498920386,-20,-20,1.648658626,-20,-2.079441542,-10.41431318,-4.509860006,-2.353878387,-1.897119985,-3.123565645,-7.775255847,-11.51292546,-12.62158809,-9.755067547,-13.12236338,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.81977828,-8.595154733,-9.282911065,-10.20459265,-12.20607265,-14.57053314,-4.034190639,-16.11809565,-20,-12.20607265,-20,-20,-5.298317367,-0.457284857,-3.729701449,-4.017383521,-4.342805922,-3.611918413,-3.540459449,-2.396895772,-1.248273063,-2.071473372,-1.386294361,-3.506557897,-5.521460918,-20,-20,-4.074541935,-20,-20,-20,-20,-20,-1.283737773,-3.352407217,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11112210,"Milk, cow's, fluid, 1% fat",1006,"Milk, lowfat",1,Milk,0
1.214912744,-2.525728644,1.601405741,-20,4.509099717,-20,-20,1.627277831,-20,-2.103734234,-10.41431318,-4.509860006,-2.292634762,-1.857899272,-3.170085661,-7.775255847,-11.2505612,-12.68410845,-9.704636694,-20,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.00884807,-8.611503871,-9.272215776,-10.20459265,-12.20607265,-14.50865774,-4.160484365,-20,-20,-12.20607265,-20,-20,-6.214608098,-2.882403588,-5.521460918,-20,-6.907755279,-6.214608098,-6.907755279,-4.828313737,-3.688879454,-4.710530702,-4.017383521,-6.214608098,-6.907755279,-20,-20,-5.80914299,-20,-20,-20,-20,-20,-3.816712826,-5.80914299,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11113000,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",1008,"Milk, nonfat",1,Milk,0
1.202972304,1.223775432,1.556037136,-20,4.474263916,-20,-20,1.556037136,-20,-2.055725015,-9.903487553,-4.342805922,-2.3330443,-1.973281346,-2.864704011,-7.929406527,-11.51292546,-13.12236338,-13.12236338,-20,-20,-8.947976108,-20,-20,-20,-20,-7.013115795,-10.41431318,-9.003326203,-9.349602439,-10.1266311,-12.20607265,-14.89432022,-4.199705078,-14.03865411,-20,-12.20607265,-20,-20,-6.214608098,1.13172464,-20,-20,-1.754463684,-2.040220829,0.716375307,-0.918793862,-1.655481851,-1.910543005,-2.302585093,-4.828313737,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.302585093,-4.605170186,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11114000,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat",1002,"Milk, whole",1,Milk,0
1.202972304,1.223775432,1.556037136,-20,4.474263916,-20,-20,1.556037136,-20,-2.055725015,-9.903487553,-4.342805922,-2.3330443,-1.973281346,-2.864704011,-7.929406527,-11.51292546,-13.12236338,-13.12236338,-20,-20,-8.947976108,-20,-20,-20,-20,-7.013115795,-10.41431318,-9.003326203,-9.349602439,-10.1266311,-12.20607265,-14.89432022,-4.199705078,-14.03865411,-20,-12.20607265,-20,-20,-6.214608098,1.13172464,-20,-20,-1.754463684,-2.040220829,0.716375307,-0.918793862,-1.655481851,-1.910543005,-2.302585093,-4.828313737,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.302585093,-4.605170186,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11114100,"Milk, cow's, fluid, filled with vegetable oil, whole",1002,"Milk, whole",1,Milk,0
1.226712291,0.076961041,1.591273942,-20,4.497250844,-20,-20,1.591273942,-20,-2.111964733,-10.41431318,-4.509860006,-2.396895772,-1.771956842,-2.937463365,-7.875339305,-11.33060391,-12.85999911,-13.81551056,-20,-20,-20,-20,-20,-20,-20,-7.418580903,-10.15194891,-8.831903936,-9.315700888,-10.28915003,-12.20607265,-14.78309458,-4.135166557,-20,-20,-12.20607265,-20,-20,-6.214608098,-0.087738914,-5.80914299,-4.96184513,-2.577021939,-2.780620894,-0.800732391,-1.731605546,-2.253794929,-3.324236341,-2.603690186,-3.912023005,-6.907755279,-20,-20,-6.214608098,-20,-20,-20,-20,-20,-2.563949857,-3.863232841,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11114200,"Milk, cow's, fluid, filled with vegetable oil, lowfat",1006,"Milk, lowfat",1,Milk,0
1.214912744,-0.030459207,1.60743591,-20,4.498920386,-20,-20,1.648658626,-20,-2.079441542,-10.41431318,-4.509860006,-2.353878387,-1.897119985,-3.123565645,-7.775255847,-11.51292546,-12.62158809,-9.755067547,-13.12236338,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.81977828,-8.595154733,-9.282911065,-10.20459265,-12.20607265,-14.57053314,-4.034190639,-16.11809565,-20,-12.20607265,-20,-20,-5.298317367,-0.457284857,-3.729701449,-4.017383521,-4.342805922,-3.611918413,-3.540459449,-2.396895772,-1.248273063,-2.071473372,-1.386294361,-3.506557897,-5.521460918,-20,-20,-4.074541935,-20,-20,-20,-20,-20,-1.283737773,-3.352407217,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11114300,"Milk, cow's, fluid, lactose reduced, 1% fat",1006,"Milk, lowfat",1,Milk,0
1.214912744,-0.030459207,1.60743591,-20,4.497918995,-20,-20,1.648658626,-20,-1.491654877,-10.41431318,-4.509860006,-2.353878387,-1.897119985,-3.123565645,-7.775255847,-11.51292546,-12.62158809,-9.755067547,-13.12236338,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.81977828,-8.595154733,-9.282911065,-10.20459265,-12.20607265,-14.57053314,-4.034190639,-16.11809565,-20,-12.20607265,-20,-20,-5.298317367,-0.458865885,-3.729701449,-4.017383521,-4.342805922,-3.611918413,-3.540459449,-2.396895772,-1.248273063,-2.071473372,-1.386294361,-3.506557897,-5.521460918,-20,-20,-4.074541935,-20,-20,-20,-20,-20,-1.283737773,-3.352407217,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11114310,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium",1006,"Milk, lowfat",1,Milk,0
1.214912744,-2.525728644,1.601405741,-20,4.509099717,-20,-20,1.627277831,-20,-2.103734234,-10.41431318,-4.509860006,-2.292634762,-1.857899272,-3.170085661,-7.775255847,-11.2505612,-12.68410845,-9.704636694,-20,-20,-11.51292546,-13.633189,-20,-20,-20,-20,-10.00884807,-8.611503871,-9.272215776,-10.20459265,-12.20607265,-14.50865774,-4.160484365,-20,-20,-12.20607265,-20,-20,-6.214608098,-2.882403588,-5.521460918,-20,-6.907755279,-6.214608098,-6.907755279,-4.828313737,-3.688879454,-4.710530702,-4.017383521,-6.214608098,-6.907755279,-20,-20,-5.80914299,-20,-20,-20,-20,-20,-3.816712826,-5.80914299,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11114320,"Milk, cow's, fluid, lactose reduced, nonfat",1008,"Milk, nonfat",1,Milk,0
1.223775432,-1.714798428,1.578978705,-20,4.508659286,-20,-20,1.578978705,-20,-1.589635285,-10.1266311,-4.509860006,-2.292634762,-1.795767491,-2.95651156,-7.824046011,-11.41761529,-13.07357321,-8.895529632,-20,-20,-11.51292546,-13.633189,-20,-20,-20,-6.907755279,-10.23199162,-8.873868135,-9.338173743,-10.1266311,-12.20607265,-14.78309458,-4.135166557,-20,-20,-12.20607265,-20,-20,-6.214608098,-2.145581344,-4.710530702,-6.907755279,-6.214608098,-5.521460918,-5.80914299,-4.074541935,-2.937463365,-3.9633163,-3.270169119,-5.298317367,-6.214608098,-20,-20,-4.96184513,-20,-20,-20,-20,-20,-3.057607677,-4.96184513,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,11114321,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium",1008,"Milk, nonfat",1,Milk,0
